epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6271,2.82944,3.54283,1.58511,0.00575,0.38023,0.00399,0.00149,2.69671,inf,1.62395,0.00036,0.00036,0.00036
2,67.544,2.29594,1.57174,1.30436,0.00079,0.01521,0.00023,8e-05,nan,nan,nan,0.000732674,0.000732674,0.000732674
3,87.8497,2.23235,1.38346,1.25772,0.00041,0.02662,0.00021,9e-05,nan,nan,nan,0.00109782,0.00109782,0.00109782
4,108.993,2.18577,1.35559,1.24772,0.00251,0.1635,0.00147,0.00058,3.41225,inf,6.47372,0.00145545,0.00145545,0.00145545
5,130.004,2.19811,1.33242,1.24514,0.01376,0.07605,0.00393,0.00135,nan,nan,nan,0.00180555,0.00180555,0.00180555
6,152.266,2.19361,1.35085,1.22045,0.22831,0.19011,0.08553,0.02104,3.40769,2.61006,1.92296,0.001901,0.001901,0.001901
7,175.263,2.16628,1.31835,1.24677,0.02184,0.36502,0.01484,0.00561,2.4284,42.25,1.48964,0.0018812,0.0018812,0.0018812
8,197.778,2.12607,1.24334,1.2012,0,0,0,0,5.63808,8.78878,8.56278,0.0018614,0.0018614,0.0018614
9,219.576,2.10606,1.23156,1.19553,0.58662,0.51711,0.51446,0.18015,2.1637,1.73319,1.2787,0.0018416,0.0018416,0.0018416
10,245.519,2.06135,1.16752,1.19168,0.49139,0.46388,0.44037,0.13166,2.48569,1.62853,1.36272,0.0018218,0.0018218,0.0018218
11,267.901,2.06823,1.17214,1.18029,0.298,0.3384,0.19556,0.0455,2.7642,2.34584,1.47281,0.001802,0.001802,0.001802
12,290.236,2.07602,1.12883,1.18176,0.71994,0.64639,0.65011,0.22527,2.22337,1.28857,1.27812,0.0017822,0.0017822,0.0017822
13,318.86,1.9995,1.08827,1.16496,0.71804,0.60035,0.64801,0.2303,2.09108,1.31886,1.23903,0.0017624,0.0017624,0.0017624
14,342.35,1.99843,1.06033,1.15517,0.77463,0.72243,0.75303,0.31404,2.00452,1.21352,1.20666,0.0017426,0.0017426,0.0017426
15,365.311,1.97637,1.0326,1.14749,0.83729,0.74349,0.74949,0.29758,1.99781,1.07827,1.19258,0.0017228,0.0017228,0.0017228
16,387.557,1.96137,1.04635,1.14867,0.8133,0.74536,0.75564,0.27326,2.02211,1.12063,1.2109,0.001703,0.001703,0.001703
17,409.542,1.98625,1.027,1.15811,0.6256,0.6616,0.64334,0.23577,2.19074,1.2599,1.28306,0.0016832,0.0016832,0.0016832
18,431.854,1.92566,0.9989,1.13432,0.78926,0.71863,0.77583,0.30486,1.97444,1.11284,1.18883,0.0016634,0.0016634,0.0016634
19,453.463,1.93172,1.00614,1.12018,0.77434,0.73004,0.75095,0.29221,2.00676,1.06773,1.19721,0.0016436,0.0016436,0.0016436
20,475.186,1.88994,0.95978,1.11479,0.69382,0.61597,0.66008,0.23289,2.1933,1.26829,1.27133,0.0016238,0.0016238,0.0016238
21,496.69,1.88019,0.9583,1.11932,0.70983,0.68821,0.70927,0.25006,2.2315,1.15671,1.28586,0.001604,0.001604,0.001604
22,518.453,1.86876,0.94841,1.11069,0.84183,0.71863,0.79664,0.3445,1.93783,0.99642,1.17883,0.0015842,0.0015842,0.0015842
